"Sex","Yr","date","yday","Site","Mass"
1,1994,1994-05-14,134,"Texel",204
1,1994,1994-05-14,134,"Texel",280
1,1994,1994-05-16,136,"Texel",335
1,1994,1994-05-16,136,"Texel",311
1,1994,1994-05-16,136,"Texel",278
1,1994,1994-05-16,136,"Texel",321
1,1994,1994-05-16,136,"Texel",235
1,1994,1994-05-16,136,"Texel",289
1,1994,1994-05-16,136,"Texel",254
1,1994,1994-05-16,136,"Texel",295
1,1994,1994-05-16,136,"Texel",320
2,1994,1994-05-16,136,"Texel",305
1,1994,1994-05-16,136,"Texel",322
2,1994,1994-05-16,136,"Texel",381
2,1994,1994-05-16,136,"Texel",389
2,1994,1994-05-16,136,"Texel",377
2,1994,1994-05-16,136,"Texel",388
2,1994,1994-05-16,136,"Texel",388
2,1994,1994-05-16,136,"Texel",405
2,1994,1994-05-16,136,"Texel",290
2,1994,1994-05-16,136,"Texel",367
1,1994,1994-05-16,136,"Texel",367
2,1994,1994-05-16,136,"Texel",393
2,1994,1994-05-16,136,"Texel",374
2,1994,1994-05-16,136,"Texel",378
1,1994,1994-05-16,136,"Texel",253
1,1994,1994-05-16,136,"Texel",308
1,1994,1994-05-16,136,"Texel",203
1,1994,1994-05-16,136,"Texel",313
1,1994,1994-05-16,136,"Texel",303
1,1994,1994-05-16,136,"Texel",317
1,1994,1994-05-16,136,"Texel",318
1,1994,1994-05-16,136,"Texel",274
1,1994,1994-05-16,136,"Texel",256
1,1994,1994-05-16,136,"Texel",319
1,1994,1994-05-16,136,"Texel",255
1,1994,1994-05-16,136,"Texel",353
1,1994,1994-05-16,136,"Texel",245
1,1994,1994-05-16,136,"Texel",186
1,1994,1994-05-16,136,"Texel",284
1,1994,1994-05-16,136,"Friese_kust",298
1,1994,1994-05-16,136,"Friese_kust",273
1,1994,1994-05-16,136,"Friese_kust",250
2,1994,1994-05-16,136,"Friese_kust",398
2,1994,1994-05-16,136,"Friese_kust",413
2,1994,1994-05-16,136,"Friese_kust",383
1,1994,1994-05-17,137,"Friese_kust",244
2,1994,1994-05-17,137,"Friese_kust",267
2,1994,1994-05-17,137,"Friese_kust",257
2,1994,1994-05-17,137,"Friese_kust",290
2,1994,1994-05-17,137,"Friese_kust",305
1,1994,1994-05-18,138,"Texel",234
1,1994,1994-05-18,138,"Texel",267
1,1994,1994-05-18,138,"Texel",215
1,1994,1994-05-18,138,"Texel",266
1,1994,1994-05-18,138,"Texel",346
1,1994,1994-05-18,138,"Texel",358
2,1994,1994-05-18,138,"Texel",448
2,1994,1994-05-18,138,"Texel",302
2,1994,1994-05-18,138,"Texel",356
2,1994,1994-05-18,138,"Texel",385
2,1994,1994-05-18,138,"Texel",385
2,1994,1994-05-18,138,"Texel",395
2,1994,1994-05-18,138,"Texel",302
2,1994,1994-05-18,138,"Texel",254
2,1994,1994-05-18,138,"Texel",372
2,1994,1994-05-18,138,"Texel",314
2,1994,1994-05-18,138,"Texel",280
2,1994,1994-05-18,138,"Texel",395
2,1994,1994-05-18,138,"Texel",396
2,1994,1994-05-18,138,"Texel",371
2,1994,1994-05-18,138,"Texel",387
2,1994,1994-05-18,138,"Texel",370
2,1994,1994-05-18,138,"Texel",262
2,1994,1994-05-18,138,"Texel",400
2,1994,1994-05-18,138,"Texel",347
2,1994,1994-05-18,138,"Texel",253
2,1994,1994-05-18,138,"Texel",336
1,1994,1994-05-18,138,"Texel",210
1,1994,1994-05-18,138,"Texel",339
1,1994,1994-05-18,138,"Texel",340
1,1994,1994-05-18,138,"Texel",307
1,1994,1994-05-18,138,"Texel",394
1,1994,1994-05-18,138,"Texel",372
1,1994,1994-05-18,138,"Texel",215
1,1994,1994-05-18,138,"Texel",282
1,1994,1994-05-18,138,"Texel",226
1,1994,1994-05-18,138,"Texel",281
1,1994,1994-05-18,138,"Texel",194
1,1994,1994-05-18,138,"Texel",296
1,1994,1994-05-18,138,"Texel",318
1,1994,1994-05-18,138,"Texel",248
1,1994,1994-05-18,138,"Texel",228
1,1994,1994-05-18,138,"Friese_kust",346
1,1994,1994-05-18,138,"Friese_kust",308
1,1994,1994-05-18,138,"Friese_kust",324
2,1994,1994-05-18,138,"Friese_kust",312
1,1994,1994-05-19,139,"Texel",279
1,1994,1994-05-19,139,"Texel",297
1,1994,1994-05-19,139,"Texel",246
2,1994,1994-05-19,139,"Texel",371
2,1994,1994-05-19,139,"Texel",403
2,1994,1994-05-19,139,"Texel",322
2,1994,1994-05-19,139,"Texel",373
2,1994,1994-05-19,139,"Texel",319
1,1994,1994-05-19,139,"Texel",346
1,1994,1994-05-19,139,"Texel",305
1,1994,1994-05-19,139,"Texel",324
1,1994,1994-05-19,139,"Texel",250
2,1994,1994-05-19,139,"Friese_kust",382
2,1994,1994-05-19,139,"Friese_kust",402
2,1994,1994-05-19,139,"Friese_kust",395
2,1994,1994-05-19,139,"Friese_kust",273
2,1994,1994-05-19,139,"Friese_kust",282
2,1994,1994-05-19,139,"Friese_kust",283
2,1994,1994-05-19,139,"Friese_kust",278
2,1994,1994-05-19,139,"Friese_kust",398
1,1994,1994-05-21,141,"Friese_kust",342
2,1994,1994-05-21,141,"Friese_kust",443
2,1994,1994-05-21,141,"Friese_kust",288
