"Site","countdate","d","m","Year","obshours","south","north","Date","Duration","count_per_hour","yday"
71,"2004-05-21",21,5,2004,"02:00:00",0,12,2004-05-21,2,6,142
29,"2004-05-21",21,5,2004,"08:30:00",0,35,2004-05-21,8.5,4.11764705882353,142
252,"2004-05-22",22,5,2004,"02:00:00",0,6,2004-05-22,2,3,143
1,"2004-04-16",16,4,2004,"11:15:00",0,4,2004-04-16,11.25,0.355555555555556,107
71,"2004-05-08",8,5,2004,"04:00:00",0,63,2004-05-08,4,15.75,129
1,"2004-05-21",21,5,2004,"06:30:00",0,6,2004-05-21,6.5,0.923076923076923,142
71,"2004-05-10",10,5,2004,"01:00:00",0,7,2004-05-10,1,7,131
429,"2004-04-28",28,4,2004,"04:00:00",0,169,2004-04-28,4,42.25,119
1,"2004-04-15",15,4,2004,"09:45:00",0,5,2004-04-15,9.75,0.512820512820513,106
1,"2004-05-06",6,5,2004,"13:30:00",0,4,2004-05-06,13.5,0.296296296296296,127
429,"2004-05-17",17,5,2004,"02:00:00",0,18,2004-05-17,2,9,138
159,"2004-04-09",9,4,2004,"01:00:00",0,14,2004-04-09,1,14,100
1,"2004-04-27",27,4,2004,"15:15:00",0,68,2004-04-27,15.25,4.45901639344262,118
71,"2004-04-24",24,4,2004,"03:30:00",0,178,2004-04-24,3.5,50.8571428571429,115
1,"2004-04-29",29,4,2004,"03:30:00",0,17,2004-04-29,3.5,4.85714285714286,120
429,"2004-05-02",2,5,2004,"05:00:00",0,1886,2004-05-02,5,377.2,123
29,"2004-05-16",16,5,2004,"06:00:00",0,9,2004-05-16,6,1.5,137
429,"2004-05-09",9,5,2004,"03:00:00",0,61,2004-05-09,3,20.3333333333333,130
1,"2004-05-13",13,5,2004,"06:15:00",0,18,2004-05-13,6.25,2.88,134
29,"2004-05-01",1,5,2004,"08:30:00",0,497,2004-05-01,8.5,58.4705882352941,122
252,"2004-04-24",24,4,2004,"01:00:00",0,95,2004-04-24,1,95,115
429,"2004-05-22",22,5,2004,"04:00:00",0,13,2004-05-22,4,3.25,143
159,"2004-05-23",23,5,2004,"00:30:00",0,1,2004-05-23,0.5,2,144
71,"2004-04-11",11,4,2004,"01:00:00",0,1,2004-04-11,1,1,102
429,"2004-04-30",30,4,2004,"00:40:00",0,101,2004-04-30,0.666666666666667,151.5,121
429,"2004-04-22",22,4,2004,"04:00:00",0,338,2004-04-22,4,84.5,113
1,"2004-05-16",16,5,2004,"08:45:00",0,6,2004-05-16,8.75,0.685714285714286,137
71,"2004-04-28",28,4,2004,"02:00:00",0,12,2004-04-28,2,6,119
29,"2004-04-29",29,4,2004,"06:00:00",0,10,2004-04-29,6,1.66666666666667,120
159,"2004-04-27",27,4,2004,"02:00:00",0,23,2004-04-27,2,11.5,118
29,"2004-04-27",27,4,2004,"03:00:00",0,226,2004-04-27,3,75.3333333333333,118
429,"2004-04-13",13,4,2004,"02:00:00",0,22,2004-04-13,2,11,104
1,"2004-05-03",3,5,2004,"06:30:00",0,3,2004-05-03,6.5,0.461538461538462,124
429,"2004-05-11",11,5,2004,"01:00:00",0,28,2004-05-11,1,28,132
429,"2004-05-08",8,5,2004,"04:30:00",0,254,2004-05-08,4.5,56.4444444444444,129
1,"2004-05-01",1,5,2004,"10:00:00",0,15,2004-05-01,10,1.5,122
252,"2004-04-28",28,4,2004,"01:00:00",0,16,2004-04-28,1,16,119
71,"2004-05-22",22,5,2004,"03:00:00",0,25,2004-05-22,3,8.33333333333333,143
71,"2004-04-30",30,4,2004,"04:00:00",1,82,2004-04-30,4,20.75,121
71,"2004-04-26",26,4,2004,"01:00:00",0,1,2004-04-26,1,1,117
71,"2004-05-09",9,5,2004,"05:00:00",0,75,2004-05-09,5,15,130
29,"2004-05-05",5,5,2004,"08:30:00",0,8,2004-05-05,8.5,0.941176470588235,126
252,"2004-05-02",2,5,2004,"02:00:00",0,106,2004-05-02,2,53,123
71,"2004-04-25",25,4,2004,"02:00:00",1,8,2004-04-25,2,4.5,116
29,"2004-04-23",23,4,2004,"03:00:00",0,440,2004-04-23,3,146.666666666667,114
159,"2004-04-23",23,4,2004,"01:30:00",0,989,2004-04-23,1.5,659.333333333333,114
159,"2004-05-12",12,5,2004,"01:00:00",0,8,2004-05-12,1,8,133
429,"2004-04-24",24,4,2004,"00:45:00",0,33,2004-04-24,0.75,44,115
71,"2004-05-02",2,5,2004,"05:00:00",2,543,2004-05-02,5,109,123
29,"2004-05-06",6,5,2004,"08:30:00",0,31,2004-05-06,8.5,3.64705882352941,127
252,"2004-04-26",26,4,2004,"04:00:00",0,17,2004-04-26,4,4.25,117
71,"2005-04-19",19,4,2005,"05:30:00",0,8,2005-04-19,5.5,1.45454545454545,109
97,"2005-05-15",15,5,2005,"06:00:00",0,469,2005-05-15,6,78.1666666666667,135
71,"2005-05-16",16,5,2005,"08:00:00",2,0,2005-05-16,8,0.25,136
29,"2005-05-14",14,5,2005,"10:00:00",0,318,2005-05-14,10,31.8,134
71,"2005-05-17",17,5,2005,"07:00:00",0,32,2005-05-17,7,4.57142857142857,137
