code,ch,SEX
L4BBBL,000000000010000,m
L4BBBR,000000000010000,f
L4BBBY,000000000010000,f
L4BBLB,000000000010100,f
L4BBLL,000000000010100,f
L4BBLR,000000000010000,f
L4BBLY,000000000010000,f
L4BBRB,000000000010000,f
L4BBRL,000000000010000,m
L4BBRR,000000000011011,f
L4BBRY,000000000010011,m
L4BBYB,000000000010000,m
L4BBYL,000000000010000,f
L4BBYR,000000000011001,f
L4BBYY,000000000010000,f
L4BLBL,000000000010010,f
L4BLBR,000000000011110,m
L4BLBY,000000000010001,f
L4BLLB,000000000010111,f
L4BLLL,000000000010001,f
L4BLLR,000000000010000,f
L4BLLY,000000000011110,f
L4BLRB,000000000010000,f
L4BLRL,000000000010000,f
L4BLRR,000000000011000,f
L4BLRY,000000000010000,m
L4BLYB,000000000011000,f
L4BLYL,000000000011101,f
L4BLYR,000000000010000,f
L4BLYY,000000000011011,m
L4BRLB,000000000001000,f
L4BRLL,000000000001001,f
L4BRLR,000000000001010,m
L4BRYB,000000000001000,f
L4BRYL,000000000001111,m
L4BRYR,000000000001100,f
L4BYBB,000000000010100,f
L4BYBL,000000000010000,m
L4BYBR,000000000010001,m
L4BYBY,000000000011001,f
L4BYLB,000000000010000,m
L4BYLL,000000000010111,m
L4BYLR,000000000010111,m
L4BYLY,000000000010100,f
L4BYRB,000000000011100,f
L4BYRL,000000000010000,m
L4BYRR,000000000010000,m
L4BYRY,000000000010000,f
L4BYYB,000000000010000,f
L4BYYL,000000000010100,m
L4BYYR,000000000010000,f
L4BYYY,000000000010100,f
L4LBBB,000000000101000,m
L4LBBL,000000000101000,f
L4LBBY,000000000100000,f
L4LBLB,000000000100010,f
L4LBLL,000000000101111,f
L4LBLR,000000000111100,f
L4LBLY,000000000111011,f
L4LBRB,000000000101000,f
L4LBRL,000000000100110,m
L4LBRR,000000000111000,f
L4LBRY,000000000100100,m
L4LBYB,000000000100000,f
L4LBYR,000000000100100,f
L4LBYY,000000000100000,f
L4LLBB,000000000100000,m
L4LLBL,000000000100000,f
L4LLBR,000000000111000,f
L4LLBY,000000000110000,f
L4LLLB,000000000100000,m
L4LLLL,000000000100000,f
L4LLLR,000000000100000,m
L4LLLY,000000000101111,f
L4LLRL,000000000100000,m
L4LLRR,000000000101000,f
L4LLRY,000000000100011,m
L4LLYL,000000000101100,f
L4LLYR,000000000101000,m
L4LLYY,000000000100010,m
L4LRBB,000000000100000,m
L4LRBL,000000000100000,f
L4LRBR,000000000101000,f
L4LRBY,000000000100000,f
L4LRLB,000000000101110,f
L4LRLL,000000000100000,f
L4LRLR,000000000100000,m
L4LRLY,000000000111011,f
L4LRRB,000000000101110,m
L4LRRL,000000000110000,f
L4LRRR,000000000110000,m
L4LRRY,000000000101000,m
L4LRYB,000000000101101,f
L4LRYL,000000000100000,m
L4LRYR,000000000101111,m
L4LRYY,000000000100000,f
L4LYBR,000000000010001,f
L4LYLB,000000000100010,f
L4LYLL,000000000101100,f
L4LYLR,000000000101010,m
L4LYLY,000000000100000,m
L4LYYB,000000000101000,f
L4LYYL,000000000100000,f
L4LYYR,000000000100000,m
L4LYYY,000000000100001,m
L4RBLL,000000000010000,m
L4RBLR,000000000010000,m
L4RBYB,000000000010100,f
L4RBYL,000000000010000,f
L4RBYY,000000000011000,f
L4RLBB,000000000010110,m
